
Nom,Telefon,Direccio,Districte,Barri,Ciutat,Codi Postal,Regio,Pais,Lat,Lon,Web,
Bar Restaurant Habana Barcelona,-,-----,Ciutat Vella,la Barceloneta,BARCELONA,08039,BARCELONA,ESPANYA,41.37539852222222,2.18853675,http://www.habanabarcelona.com,
 Fresh,-,-----,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,BARCELONA,08006,BARCELONA,ESPANYA,41.39700243055555,2.1522896666666664,-----,
Bar Pinocho,-,-----,Ciutat Vella,el Raval,BARCELONA,08002,BARCELONA,ESPANYA,41.38267368611111,2.171678722222222,-----,
Col·legi d'Arquitectes de Catalunya,-,-----,Ciutat Vella,el Barri Gòtic,BARCELONA,08002,BARCELONA,ESPANYA,41.38444698611111,2.175041361111111,-----,
Bar Glüh,-,-----,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",BARCELONA,08003,BARCELONA,ESPANYA,41.38692916666667,2.1761466388888886,
Restaurant Candela Raval,-,-----,Ciutat Vella,el Raval,BARCELONA,08001,BARCELONA,ESPANYA,41.38072328888889,2.1711486944444442,http://www.candelaraval.com,
Restaurant La Locanda,-,-----,Ciutat Vella,el Barri Gòtic,BARCELONA,08002,BARCELONA,ESPANYA,41.38595585,2.1755125555555552,http://www.restaurantelalocanda.com,
Restaurant Kailash,-,-----,Sant Martí,el Camp de l'Arpa del Clot,BARCELONA,08026,BARCELONA,ESPANYA,41.41133651944444,2.1804401388888888,-----,
Free Girls,-,-----,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,BARCELONA,08006,BARCELONA,ESPANYA,41.39936953055555,2.151432388888889,-----,
Restaurant Hisop,-,-----,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,BARCELONA,08021,BARCELONA,ESPANYA,41.39445760833333,2.1480123333333334,http://www.hisop.com,
Cafè Just,-,-----,Ciutat Vella,el Barri Gòtic,BARCELONA,08002,BARCELONA,ESPANYA,41.38267685277778,2.1796073333333332,-----,
Restaurant Tívoli Tercer Mil·lenni,-,-----,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,BARCELONA,08021,BARCELONA,ESPANYA,41.39807938888889,2.1436165,http://www.tivoli-bcn.com,
Restaurant Litoral,-,-----,Ciutat Vella,la Barceloneta,BARCELONA,08003,BARCELONA,ESPANYA,41.376059347222224,2.1900202777777777,-----,
Restaurant Bona Tapa,-,-----,Nou Barris,Porta,BARCELONA,08016,BARCELONA,ESPANYA,41.43035123888889,2.180571361111111,-----,
 Tea Company,-,-----,Nou Barris,el Turó de la Peira,BARCELONA,08031,BARCELONA,ESPANYA,41.430457141666665,2.1732158611111108,-----,
Cafeteria Restaurant Zelig,-,-----,Ciutat Vella,el Raval,BARCELONA,08001,BARCELONA,ESPANYA,41.37976693888889,2.166256722222222,-----,
Bar McDonald's *Maremàgnum,-,-----,Ciutat Vella,el Barri Gòtic,BARCELONA,08039,BARCELONA,ESPANYA,41.37573091111111,2.1832132777777775,http://www.mcdonalds.es,
Restaurant Grill-Braseria,-,-----,Ciutat Vella,el Barri Gòtic,BARCELONA,08039,BARCELONA,ESPANYA,41.37573091111111,2.1832132777777775,-----,
Bar Nit i Dia *Maremàgnum,-,-----,Ciutat Vella,el Barri Gòtic,BARCELONA,08039,BARCELONA,ESPANYA,41.37573091111111,2.1832132777777775,-----,
Bar restaurant Berlín,-,-----,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,BARCELONA,08021,BARCELONA,ESPANYA,41.394329347222225,2.149497361111111,-----,
Restaurant El Comedor,-,-----,Ciutat Vella,el Barri Gòtic,BARCELONA,08002,BARCELONA,ESPANYA,41.38110431388889,2.1781321666666664,-----,
